"What a wonderful conference this has been. We have been fed spiritually as we have listened to the inspired words of the men and women who have addressed us. '¦ We have been uplifted in every way as we have participated together.  Thomas S. Monson",
"Then said Jesus unto the twelve, Will ye also go away? Then Simon Peter answered him, Lord, to whom shall we go? thou hast the words of eternal life.  John 6:67-68",
"Just imagine how blessed we are to know that God is a being with a body of flesh and bones as tangible as ours, that we can worship a God who is real.  Adilson de Paula Parrella",
"Miracles happen when the children of God work together guided by the Spirit to reach out to others in need. ",
"O how great the holiness of our God! For he knoweth all things, and there is not anything save he knows it.  2 Nephi 9:20",
"As we honor and are grateful for His sacrifice, we can receive in a great measure the intense desire to be better children of God.  Taylor G. Godoy",
"We may seldom, if ever, receive huge spiritual manifestations in our lives; but we can frequently savor the sweet whisperings of the Holy Ghost verifying the truth of our spiritual worth.  Joy D. Jones",
"Deep within us is a longing to somehow reach past the veil and embrace Heavenly Parents we once knew and cherished. @UchtdorfDF",
"You are unique. One of a kind, made of the eternal intelligence which gives you claim upon eternal life. Let there be no question in your mind about your value as an individual.  Spencer W. Kimball",
"Once there has been genuine illumination, beware the temptation to retreat from a good thing. If it was right when you prayed about it and trusted it and lived for it, it is right now. @HollandJeffreyR",
"And I say unto you, Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you.  Luke 11:9",
"Your course is marked, and you can be assured that the Savior has not only walked the course but will again walk it with you every step of the way. ",
"Like a coin with two sides, all the saving ordinances are accompanied by covenants with God. God promised us blessings if we faithfully honor those covenants.  Taniela B. Wakolo ",
"As we lose ourselves in the service of others, we discover our own lives and our own happiness. @UchtdorfDF",
"We can all receive unspeakable peace and partnering with our Savior as we learn to freely forgive.  Larry J. Echo Hawk",
"As seedlings of God, we barely blossom on earth; we fully flower in heaven. @NelsonRussellM ",
